ID	Organism	Subtype	Country	SamplingYear	Region	Organism_and_Subtype	Region_and_Year
DJ048201|SIV|subtype:VER	SIV	VER	KENYA		Africa	SIV_VER	Africa_unknown
M33262|SIV|subtype:MAC	SIV	MAC	UNITED STATES		North_America	SIV_MAC	North_America_unknown
DQ201174|SIV|subtype:SMM	SIV	SMM	UNITED STATES		North_America	SIV_SMM	North_America_unknown
DQ201173|SIV|subtype:SMM	SIV	SMM	UNITED STATES		North_America	SIV_SMM	North_America_unknown
DQ201172|SIV|subtype:SMM	SIV	SMM	UNITED STATES		North_America	SIV_SMM	North_America_unknown
U72748|SIV|subtype:SMM	SIV	SMM	UNITED STATES		North_America	SIV_SMM	North_America_unknown
JQ864085|SIV|subtype:SMM	SIV	SMM	UNITED STATES	2011	North_America	SIV_SMM	North_America_2011
JQ864086|SIV|subtype:SMM	SIV	SMM	UNITED STATES	2011	North_America	SIV_SMM	North_America_2011
JQ864084|SIV|subtype:SMM	SIV	SMM	UNITED STATES	2011	North_America	SIV_SMM	North_America_2011
JQ864087|SIV|subtype:SMM	SIV	SMM	UNITED STATES	2011	North_America	SIV_SMM	North_America_2011
JX648291|SIV|subtype:SMM	SIV	SMM				SIV_SMM	unknown_unknown
JX648292|SIV|subtype:SMM	SIV	SMM				SIV_SMM	unknown_unknown
AY033233|SIV|subtype:MAC	SIV	MAC	UNITED STATES		North_America	SIV_MAC	North_America_unknown
AY033146|SIV|subtype:MAC	SIV	MAC	UNITED STATES		North_America	SIV_MAC	North_America_unknown
D01065|SIV|subtype:MAC	SIV	MAC	UNITED STATES		North_America	SIV_MAC	North_America_unknown
M19499|SIV|subtype:MAC	SIV	MAC	UNITED STATES		North_America	SIV_MAC	North_America_unknown
M76764|SIV|subtype:MAC	SIV	MAC	UNITED STATES		North_America	SIV_MAC	North_America_unknown
L09211|SIV|subtype:SMM	SIV	SMM	UNITED STATES		North_America	SIV_SMM	North_America_unknown
L09213|SIV|subtype:SMM	SIV	SMM	UNITED STATES		North_America	SIV_SMM	North_America_unknown
L09212|SIV|subtype:SMM	SIV	SMM	UNITED STATES		North_America	SIV_SMM	North_America_unknown
